Date,High,Low,Open,Close,Volume,Adj Close
2021-01-04,3272.0,3144.02001953125,3270.0,3186.6298828125,4411400,3186.6298828125
2021-01-05,3223.3798828125,3165.06005859375,3166.010009765625,3218.510009765625,2655500,3218.510009765625
2021-01-06,3197.510009765625,3131.159912109375,3146.47998046875,3138.3798828125,4394800,3138.3798828125
2021-01-07,3208.5400390625,3155.0,3157.0,3162.159912109375,3514500,3162.159912109375
2021-01-08,3190.639892578125,3142.199951171875,3180.0,3182.699951171875,3534300,3182.699951171875
2021-01-11,3156.3798828125,3110.0,3148.010009765625,3114.2099609375,3683400,3114.2099609375
2021-01-12,3142.139892578125,3086.0,3120.0,3120.830078125,3514600,3120.830078125
2021-01-13,3189.949951171875,3122.080078125,3128.43994140625,3165.889892578125,3321200,3165.889892578125
2021-01-14,3178.0,3120.590087890625,3167.52001953125,3127.469970703125,3070900,3127.469970703125
2021-01-15,3142.550048828125,3095.169921875,3123.02001953125,3104.25,4214200,3104.25
2021-01-19,3145.0,3096.0,3107.0,3120.760009765625,3305100,3120.760009765625
2021-01-20,3279.800048828125,3175.0,3181.989990234375,3263.3798828125,5309800,3263.3798828125
2021-01-21,3348.550048828125,3289.570068359375,3293.0,3306.989990234375,4945100,3306.989990234375
2021-01-22,3321.909912109375,3283.159912109375,3304.31005859375,3292.22998046875,2816300,3292.22998046875
2021-01-25,3363.889892578125,3243.14990234375,3328.5,3294.0,3749800,3294.0
2021-01-26,3338.0,3283.196533203125,3296.35595703125,3326.1298828125,2736302,3326.1298828125
